,username,date,review_text
103,Matangi,1765756800000,"ooh boy i had NO idea what was going on at all. i have the same issues with sci fi that i have with fantasy, where if things are not first set in the real world and then explained step by step to me like a baby i simply do not understand."
104,CIK8A,1765843200000,"Murderbot my beloved. Perfect little snack, can't wait to read the rest of them. 2025 k8-s-staff-picks"
105,Deanne,1765756800000,An oddly comforting read 1 like
106,Claire Poxon,1765756800000,"Not only a fiercely funny book, but a strangely touching one too. Don't we all just want to be left alone to watch or read our stories? Like if ancillary justice had a baby with resident alien."
107,Kris,1765843200000,"This was just okay for me overall, but i really liked Murderbot as a character. I also appreciated how the authors ser the scene without overwhelming the reader with heavy sci-fi language. That said, I could definitely brush up my sci-fi knowledge. The ending was bittersweet , I wanted Murderbot to live happily with Mensah but at the same time I was glad he got to live on his own terms. Overall, an enjoyable read."
108,Greyc,1765756800000,I too use media for escapism. Excited to see what Murderbot does next. 2 likes
109,xtine,1765756800000,A cyborg security agent (who has named itself Murderbot and has a love for soap operas) protects a research expedition crew when things go wrong. I didn't like this quite as much as I wanted to but found it a quick and pretty fun read. I enjoyed the parts where Murderbot gets uncomfortable and awkward around humans and wants to get back to its soap operas.
110,James Huynh,1765756800000,All Systems Red is a book I started reading with minimal context. I was immediately surprised by the unique premise of following the thoughts of a highly capable robot who recently achieved sentience. Most sci-fi books feel grandiose and focus on exposition. This one does the exact opposite. It is exactly how I picture a lethal robot trying to find its place in a complex world. short
111,mimzymermaid,1765756800000,Read it in one night. Fantastic
112,Mark,1765756800000,I'm. happy that my friend Sean recommended this to me. I like to balance nonfiction with fiction. And this was a delightful sci-fi novella. 1 like
113,Nadia,1765756800000,"A supposed murdebot who just wants to watch TV and hates human interaction, but will save her humans too. Really liked this. 1 like"
114,readwithdanica,1765756800000,4.5 stars i just love that he doesn’t care HAAHAHAH it’s so good 1 like
115,Ellen Munro,1765756800000,"Read for book club. Not really my bag, so not fair to rate."
116,Raine,1766016000000,"This was so fun, murderbot is such a charming and pessimistic narrator"
117,Anne T.,1765670400000,"Excited to read this series that has been recommended many times to me (and gotta read before watching the show!). This is a great introduction novella which provides enough information regarding society and technology to not be confusing but not too much to become too technically dense. Our Murderbot main character is a socially awkward, exasperated and reluctant participant in his job who would rather be laying in his cubicle watching tv than dealing with those around him #relatable. Gives Andy Weir vibes for those who enjoy his writing style and humor."
118,Rachel Bowen,1765756800000,"Felt a little young for me so moved on after reading books 1 & 2 of the series, but found the expedition/investment insurance premise fascinating and wish I’d had these in middle/early high school. May revisit down the line for fun 1 like"
